problem,parameters,generations,elitism_p,popsize,learning_factor,adaptive_increment_p,prob_crossover,prob_mutation,runs
n,n.yml,100,0.1,100,0.1,0.1,0.9,0.1,3
n,n.yml,100,0.1,100,0.1,0.01,0.9,0.1,3
n,n.yml,100,0.1,100,0.1,0.001,0.9,0.1,3
n,n.yml,100,0.1,100,0.1,0,0.9,0.1,3
n,n.yml,100,0.1,100,0.01,0.1,0.9,0.1,3
n,n.yml,100,0.1,100,0.01,0.01,0.9,0.1,3
n,n.yml,100,0.1,100,0.01,0.001,0.9,0.1,3
n,n.yml,100,0.1,100,0.01,0,0.9,0.1,3
n,n.yml,100,0.1,100,0.001,0.1,0.9,0.1,3
n,n.yml,100,0.1,100,0.001,0.01,0.9,0.1,3
n,n.yml,100,0.1,100,0.001,0.001,0.9,0.1,3
n,n.yml,100,0.1,100,0.001,0,0.9,0.1,3
n,n.yml,100,0.1,100,0,0.1,0.9,0.1,3
n,n.yml,100,0.1,100,0,0.01,0.9,0.1,3
n,n.yml,100,0.1,100,0,0.001,0.9,0.1,3
n,n.yml,100,0.1,100,0,0,0.9,0.1,3
